date,area
2022-02-24,30619.84572184
2022-02-25,46921.64196282
2022-02-26,55124.21571869
2022-02-27,59125.62417783
2022-02-28,59125.62417783
2022-03-01,60440.14665701
2022-03-02,61096.01354397
2022-03-03,66126.11919408
2022-03-04,66112.17607619999
2022-03-05,70612.99436217999
2022-03-06,70612.99436217999
2022-03-07,70612.99436217999
2022-03-08,70612.99436217999
2022-03-09,77224.810448
2022-03-10,78292.11663260001
2022-03-11,78574.88754952
2022-03-12,78574.88754952
2022-03-13,78574.88754952
2022-03-14,78574.88754952
2022-03-15,87325.77145011
2022-03-16,85805.51195072
2022-03-17,85805.51195072
2022-03-18,85805.51195072
2022-03-19,85805.51195072
2022-03-20,85805.51195072
2022-03-21,85805.51195072
2022-03-22,85805.51195072
2022-03-23,116388.05117417999
2022-03-24,115744.55002038
2022-03-25,114640.41740512
2022-03-26,129033.72214342999
2022-03-27,129033.72214342999
2022-03-28,129033.72214342999
2022-03-29,129033.72214342999
2022-03-30,130980.02736292999
2022-03-31,130980.02736292999
2022-04-01,130980.02736292999
2022-04-02,129669.86420941
2022-04-03,129669.86420941
2022-04-04,129669.86420941
2022-04-05,130618.10216125
2022-04-06,99305.24958363001
2022-04-07,99305.24958363001
2022-04-08,99305.24958363001
2022-04-09,99305.24958363001
2022-04-10,99924.82500431
2022-04-11,99924.82500431
2022-04-12,99924.82500431
2022-04-13,99647.5863928
2022-04-14,99647.5863928
2022-04-15,99647.6213935
2022-04-16,99647.6213935
2022-04-17,98711.66816731
2022-04-18,98711.66816731
2022-04-19,98711.66816731
2022-04-20,98909.30098757001
2022-04-21,98909.30098757001
2022-04-22,98911.00113525
2022-04-23,98911.00113525
2022-04-24,99420.63960658999
2022-04-25,99420.63960658999
2022-04-26,99732.02615467999
2022-04-27,99732.02615467999
2022-04-28,99732.02615467999
2022-04-29,99732.02615467999
2022-04-30,99411.529731
2022-05-01,99411.529731
2022-05-02,99073.05988726
2022-05-03,99073.05988726
2022-05-04,99085.06634189
2022-05-05,99085.06634189
2022-05-06,99085.06634189
2022-05-07,98954.26194031
2022-05-08,98954.26194031
2022-05-09,98972.36491434
2022-05-10,98972.36491434
2022-05-11,98980.31392028
2022-05-12,98900.27698507001
2022-05-13,98900.27698507001
2022-05-14,98900.27698507001
2022-05-15,99094.74708883
2022-05-16,99094.74708883
2022-05-17,99094.74708883
